"","Year","iso","cp"
"459",1992,288,7.2
"460",1985,716,26.6
"461",2006,70,11.28308818
"462",2006,84,31.42501738
"463",2006,120,13.99160616
"464",2006,192,71.61162302
"465",2002,270,15.1
"466",2007,384,11.03054163
"467",2008,400,42.20032315
"468",2005,422,34.2
"469",2008,478,8
"470",2006,499,17.44911735
"471",2008,548,36.9669551
"472",2007,566,10.54506957
"473",2005,604,47.41693363
"474",2011,604,50.50162993
"475",2008,604,48.77371522
"476",2008,646,27.08944945
"477",2009,678,33.68414859
"478",2006,688,18.96374143
"479",2007,788,51.5
"480",2007,887,19.56901519
"481",1970,70,3.1
"482",1980,756,64.9
"483",1982,28,44.6
"484",1984,68,9.9
"485",1982,212,57.5
"486",1982,558,22.8
"487",1982,662,NA
"488",1982,670,51.6
"489",1982,752,72
"490",1983,56,63.18
"491",1982,344,NA
"492",1982,484,41.5
"493",1982,528,73.82063385
"494",1982,630,NA
"495",1982,410,47.4
"496",1982,702,59
"497",1982,144,31.9
"498",1982,840,NA
"499",1984,320,20.6
"500",1984,388,48.4
"501",1984,124,70.6146
"502",1984,392,57.3
"503",1984,404,9.7
"504",1985,414,37.3
"505",1985,458,29.8
"506",1984,500,52.2844
"507",1984,659,NA
"508",1986,308,27.435
"509",1986,480,44.2
"510",1986,410,NA
"511",1986,724,41.588639
"512",1986,36,72.2
"513",1986,348,62.3
"514",1986,392,62.7
"515",1986,638,57.1
"516",1986,826,78
"517",1986,858,72.4
"518",1988,344,NA
"519",1988,212,47.9076
"520",1988,332,5
"521",1988,376,51.9
"522",1988,392,NA
"523",1988,600,29
"524",1988,702,53
"525",1988,44,60.12502
"526",1988,52,53.35
"527",1989,132,19
"528",1988,208,89
"529",1988,250,66.6
"530",1988,356,39.9
"531",1988,392,51.7
"532",1988,458,31.4
"533",1988,528,72.07811206
"534",1989,578,69.21665465
"535",1988,410,NA
"536",1988,662,NA
"537",1988,670,NA
"538",1988,710,48.4
"539",1989,748,17.15974803
"540",1988,840,NA
"541",1990,246,75.4025321
"542",1990,364,30.5
"543",1990,270,6.7
"544",1990,308,NA
"545",1990,392,52.5
"546",1990,638,67.2
"547",1990,840,NA
"548",1992,50,31.2
"549",1992,56,74.30012102
"550",1992,203,53
"551",1992,408,53
"552",1992,180,2.3
"553",1992,328,36.9
"554",1991,626,20.4
"555",1992,426,18.9
"556",1992,462,19
"557",1991,480,42.4
"558",1992,616,27.98232695
"559",1992,410,69.5
